title,description,equipment_type,phase,discovered_by,discovered_at
AGV与站点间隙过大导致卡托盘,由于AGV与表面处理站点之间存在50mm间隙（设计值），当托盘中工件摆放靠前，造成托盘重心靠前，造成AGV表面处理卡托盘，导致AGV报警。,机械设备,usage,钱七,2024/5/29
IO电缆接触不良导致AGV动作失灵,由于AGV IO电缆插头接触不良，造成IO动作失灵，造成AGV在表面处理挡块不动作，卸载机能丧失。,机械设备,usage,钱七,2024/5/30
AGV轮胎磨损导致托盘滑落报警,由于AGV轮胎磨损，导致空托盘侧高度低于制造站点，当人员堆叠空托盘时，未在意止口状态，导致LD1在B01站点交换托盘时，托盘滑落，通光传感器感应到托盘后报警。企微没有声音提示，在处理2号机IO故障时未能及时发现报警，导致TTR时间增长。,机械设备,usage,钱七,2024/5/31
AGV轮胎磨损导致托盘滑落,由于AGV轮胎磨损，导致空托盘侧高度低于制造站点，导致LD1在P01站点交换托盘时，托盘滑落，通光传感器感应到托盘后报警。,机械设备,usage,钱七,2024/6/1
计划维护,计划维护,机械设备,usage,钱七,2024/6/2
空侧传感器检测范围不足导致卡托盘,由于空侧传感器检测范围不足，当人员空托盘堆叠不良时，发生滑落，AGV出站移动后，托盘卡在AGV与站点（I01）之间，导致AGV报警。,机械设备,usage,钱七,2024/6/3
砂轮轴异响,继8月砂轮轴异响,机械设备,usage,钱七,2024/6/4
制造站点导轨卡涩导致托盘卡住,由于制造站点B01导轨卡涩，当托盘质量较轻时，托盘卡在AGV与站点之间，AGV报警。,机械设备,usage,钱七,2024/6/5
挡块高度不足导致托盘推出报警,由于挡块高度不足，当前一站点交换的托盘质量较轻，后面很重的托盘将前面的托盘推出挡块限制位置，传感器检测到卡托盘，设备报警。,机械设备,usage,钱七,2024/6/6
道路施工导致AGV急停,由于3通道西侧道路上方管线施工，道路阻塞。AGV急停被按下。导致AGV停机。,机械设备,usage,钱七,2024/6/7
顶针未清洗导致工件椭圆,由于安装顶针未清洗，导致顶针跳动大于0.015，导致工件轴线歪斜，导致工件椭圆。,机械设备,usage,钱七,2024/6/8
顶针未清洗导致工件椭圆（重复）,由于安装顶针未清洗，导致顶针跳动大于0.015，导致工件轴线歪斜，导致工件椭圆。,机械设备,usage,钱七,2024/6/9
道路施工导致AGV急停（重复）,由于3通道西侧道路上方管线施工，道路阻塞。AGV急停被按下。导致AGV停机。,机械设备,usage,钱七,2024/6/10
空侧传感器检测范围不足导致卡托盘（重复）,由于空侧传感器检测范围不足，当人员空托盘堆叠不良时，发生滑落，AGV出站（I01）移动后，托盘卡在AGV与站点之间，导致AGV报警。,机械设备,usage,钱七,2024/6/11
站点布局空间过小导致AGV进站失败,由于P06站点布局空间过小，当人员或车辆经过时，AGV走过P06站点导致AGV无法进站，报警。,机械设备,usage,钱七,2024/6/12
道路堵塞未及时处理导致AGV报警,由于2号机故障堵塞道路，未及时处理（丸荣对应中），造成AGV报警。,机械设备,usage,钱七,2024/6/13
光栅防护不足导致重复定位精度下降,由于光栅防护不足，当长期使用时造成砂轮灰油污污染，导致X轴重复定位精度下降。导致尺寸不稳定。,机械设备,usage,钱七,2024/6/14
站点挡块报警系统无法检知导致风险,由于W01站点所有挡块的报警状态系统无法检知，导轨角度不足导致托盘滑动受阻，当托盘停留在挡块上方时，挡块上升受阻并报警。导致挡块无动作。存在工件坠落风险。,机械设备,usage,钱七,2024/6/15
电池电流超限导致自动关机,由于电池电流超出最大设定电流时会断电，当设备检测到障碍物时制动电流超出设定值，自动关机,机械设备,usage,钱七,2024/6/16
电池电流超限导致自动关机（重复）,由于电池电流超出最大设定电流时会断电，当设备检测到障碍物时制动电流超出设定值，自动关机,机械设备,usage,钱七,2024/6/17
AGV与站点间隙过大导致卡托盘,由于AGV与表面处理站点之间间隙过大，当托盘重心靠前时，托盘卡在AGV与站点之间，设备报警停机。,机械设备,usage,钱七,2024/6/18
AGV支撑轮磨损导致托盘卡住,由于AGV支撑轮磨损，导致托盘高度下降，导致托盘卡在AGV与站点之间，设备报警停机。,机械设备,usage,钱七,2024/6/19
气源压力低导致夹紧压力报警,由于气源压力低，当设备吹气时，增压缸造成压力波动，造成M11036夹紧压力低报警,机械设备,usage,钱七,2024/6/20
气源压力低导致夹紧压力报警（重复）,由于气源压力低，当设备吹气时，增压缸造成压力波动，造成M11036夹紧压力低报警,机械设备,usage,钱七,2024/6/21
APP宕机导致AGV停止,由于APP宕机，造成AGV停止不动。,机械设备,usage,钱七,2024/6/22
APP宕机导致AGV停止（重复）,由于APP宕机，造成AGV停止不动。,机械设备,usage,钱七,2024/6/23
AGV定位偏差导致卡托盘,由于AGV定位偏差，当托盘数量少时，造成下层空托盘卡在AGV与G01站点之间。,机械设备,usage,钱七,2024/6/24
站点地锚变形导致AGV定位偏差,由于站点固定地锚易变形，当物体碰撞站点时，造成站点位移，造成AGV定位偏差，当托盘工件数量少时，造成2层托盘卡在AGV与G01站点之间。,机械设备,usage,钱七,2024/6/25
导轨滚子强度不足导致损坏,由于导轨滚子强度不足，P06站点导轨滚子损坏，导致托盘卡在AGV与站点之间，AGV报警,机械设备,usage,钱七,2024/6/26
顶针进沙与光栅污染导致尺寸不良,由于左侧顶针进入砂子，导致顶针跳动，导致工件轴线不稳定，导致产品锥度，不良较多，停机。由于光栅尺防护不足导致油雾污染光栅尺，造成重复定位精度不良，造成尺寸不稳定，不良较多，停机。,机械设备,usage,钱七,2024/6/27
联轴器螺丝紧固不足导致报警,由于联轴器螺丝紧固不足，造成电机编码器与光栅尺读数误差过大，造成设备报警停机。,机械设备,usage,钱七,2024/6/28
设备布局变更导致AGV定位偏差,由于二通道西侧设备布局发生变更，当雨天空气结露时，造成AGV驱动轮滑动，造成AGV定位偏差，AGV迷路无法移动。,机械设备,usage,钱七,2024/6/29
设备布局变更导致AGV定位偏差（重复）,由于二通道西侧设备布局发生变更，当雨天空气结露时，造成AGV驱动轮滑动，造成AGV定位偏差，AGV迷路无法移动。,机械设备,usage,钱七,2024/6/30
光栅污染与顶针跳动导致加工不稳定,由于光栅尺防护不足导致油污污染光栅尺，造成重复定位不良。由于左侧顶针轴轴承跳动过大造成顶针跳动，造成工件轴线不稳定，造成工件锥度。两重原因造成加工不稳定。,机械设备,usage,钱七,2024/7/1
地面结露与布局变动导致AGV打滑,由于地面结露，且二通道西侧布局发生变动。造成驱动轮打滑，AGV定位偏差。,机械设备,usage,钱七,2024/7/2
测量头防护不足导致报警,由于测量头防护不足，导致油污卡涩测量头导致报警，导致无法回原点，导致设备停机。,机械设备,usage,钱七,2024/7/3
平板电脑硬盘损坏导致停机,由于平板电脑硬盘损坏导致设备停机。,机械设备,usage,钱七,2024/7/4
光栅污染与顶针安装面沙粒导致尺寸不稳定,由于光栅防护不足，当现场油雾过重时，污染光栅造成重复定位误差过大。由于顶针安装面有沙粒造成顶针跳动过大造成产品锥度，两重原因造成加工尺寸不稳定。,机械设备,usage,钱七,2024/7/5
光栅污染导致重复定位精度不良,由于光栅防护不足，当现场油雾过大造成光栅污染，造成重复定位精度不良，造成加工尺寸不稳定。,机械设备,usage,钱七,2024/7/6
站点支撑强度不足导致位置偏离,由于表面处理站点固定支撑强度不足，当长期使用过程中，由于惯性力的作用，导致站点偏离原有位置。导致托盘卡在AGV与站点之间。设备报警。,机械设备,usage,钱七,2024/7/7
挡块报警信号未接入系统导致工件坠落,由于表面处理站点挡块报警信号未接入系统，当挡块报警后系统无法检知，挡块未上升的情况下，AGV释放工件托盘，造成工件坠落，停机。,机械设备,usage,钱七,2024/7/8
地面湿滑导致AGV迷路,由于地面湿滑，造成AGV迷路。,机械设备,usage,钱七,2024/7/9
人员或车辆干涉导致AGV无法移动,由于人员或车辆干涉，导致AGV无法移动。,机械设备,usage,钱七,2024/7/10
道路施工破坏磁条导致计划停机,由於道路施工過程中破壞了磁條，AGV計劃停機。,机械设备,usage,钱七,2024/7/11
道路施工破坏磁条导致计划停机（重复）,由於道路施工過程中破壞了磁條，AGV計劃停機。,机械设备,usage,钱七,2024/7/12
挡块报警系统无法检知导致产品滞留,由于挡块报警系统无法检知，造成P2产品滞留在站点内。未停机。,机械设备,usage,钱七,2024/7/13
站点导轨角度不足导致托盘卡住,由于P4站点导轨角度不足，当工件质量较轻时，导致托盘下滑动力不足，托盘卡在AGV与站点之间。,机械设备,usage,钱七,2024/7/14
进站角度偏大导致AGV进站失败,由于T01进站角度偏大，且布局紧凑，导致AGV进站失败，设备报警。,机械设备,usage,钱七,2024/7/15
电源插头无防脱设计导致挡块不工作,由于电源插头没有放松脱设计，当人员或车辆触碰插头时造成插头松动，造成制造站点挡块不工作。,机械设备,usage,钱七,2024/7/16
表面处理布局变动导致AGV定位不准,由于表面处理内部布局变动，导致AGV定位不准，导致AGV进入磁条失败。,机械设备,usage,钱七,2024/7/17
电路整理与加装罩壳计划停机,由于电路整理，加装罩壳。设备计划停机。,机械设备,usage,钱七,2024/7/18
布局变动过大导致AGV迷路,由于布局变动过大（布局变动不知情），导致AGV迷路。,机械设备,usage,钱七,2024/7/19
布局变动过大导致AGV迷路（重复）,由于布局变动过大（布局变动不知情），导致AGV迷路。,机械设备,usage,钱七,2024/7/20
回原点失败原因不明,回不了原点。原因不明。,机械设备,usage,钱七,2024/7/21
砂轮表面缺陷导致工件粗糙度不良,由于砂轮表面缺陷，造成砂轮振动，造成工件表面粗糙度不良。,机械设备,usage,钱七,2024/7/22
工件掉落原因未知,工件掉落，原因未知。,机械设备,usage,钱七,2024/7/23
油污污染测定子导致测量误差,由于油污污染测定子，导致测定子测量误差过大，系统报警，无法回原点。,机械设备,usage,钱七,2024/7/24
站点空间不足导致AGV进站失败,由于P6站点附近空间不足，导致AGV进站失败报警.,机械设备,usage,钱七,2024/7/25
砂轮修砂不足与顶针跳动导致尺寸不稳定,由于砂轮修砂不足，当长期小口加工时砂轮磨损不一致。且左侧顶针轴跳动大于15μ，造成轴线不稳定。造成尺寸不稳定。,机械设备,usage,钱七,2024/7/26
编码器报警导致AGV丢失定位,由于编码器报警导致AGV丢失定位,机械设备,usage,钱七,2024/7/27
轮胎打滑导致AGV定位失败,由于轮胎打滑导致AGV定位失败,机械设备,usage,钱七,2024/7/28
激光传感器误检测导致AGV关机,由于前罩壳过高，激光传感器误检测，造成紧急制动，造成放电电流过大，造成电池促发保护，自动关机，且AGV位置丢失。,机械设备,usage,钱七,2024/7/29
轮胎防滑不足导致AGV进入磁条失败,由于轮胎防滑性能不足，当雨天空气湿度过大时，造成轮胎打滑，造成AGV进入磁条失败，造成AGV报警停机,机械设备,usage,钱七,2024/7/30
地图定位点过近与轮胎打滑导致AGV报警,由于地图中定位点离磁条过近，易提前检测到磁条。由于轮胎防滑性能不足，当雨天空气湿度过大时，造成轮胎打滑，造成AGV进入磁条失败，造成AGV报警停机,机械设备,usage,钱七,2024/7/31
地图定位点过近与轮胎打滑导致AGV报警（重复）,由于地图中定位点离磁条过近，易提前检测到磁条。由于轮胎防滑性能不足，当雨天空气湿度过大时，造成轮胎打滑，造成AGV进入磁条失败，造成AGV报警停机,机械设备,usage,钱七,2024/8/1
地图定位点过近与轮胎打滑导致AGV报警（重复）,由于地图中定位点离磁条过近，易提前检测到磁条。由于轮胎防滑性能不足，当雨天空气湿度过大时，造成轮胎打滑，造成AGV进入磁条失败，造成AGV报警停机,机械设备,usage,钱七,2024/8/2
站点区域停放车辆导致AGV无法出站,由于站点区域停放车辆，导致AGV无法出站，报警。,机械设备,usage,钱七,2024/8/3
磁条定位偏移导致AGV卡托盘,由於磁條定位偏移，造成AGV卡托盤,机械设备,usage,钱七,2024/8/4
磁条定位偏移导致AGV卡托盘（重复）,由於磁條定位偏移，造成AGV卡托盤,机械设备,usage,钱七,2024/8/5
AGV导轨卡托盘导致托盘下落,由于AGV导轨卡住托盘，且AGV移动前挡块未上升，AGV移出站点时托盘下落。,机械设备,usage,钱七,2024/8/6
设备锥度调整不到位导致产品锥度大,由于设备锥度调整不到位，造成产品锥度大。,机械设备,usage,钱七,2024/8/7
AGV与站点间隙过大导致托盘翘起,由于AGV与P3站点之间间隙过大（设计值过大），当工件重心靠前时，托盘翘起，托盘卡在AGV与站点之间。,机械设备,usage,钱七,2024/8/8
砂轮更换后Z方向设置偏差导致测量错误,由于砂轮更换作业后，Z方向设置偏差，导致光纤测量D寸位置错误(测量在P寸位置)，导致测量数据错误，程序报警。,机械设备,usage,钱七,2024/8/9
平板电脑触屏损坏,平板电脑触屏损坏,机械设备,usage,钱七,2024/8/10
软件有问题,软件有问题,机械设备,usage,钱七,2024/8/11
自动接料计划外运行,自动接料计划外运行,机械设备,usage,钱七,2024/8/12
电气故障,电气故障,机械设备,usage,钱七,2024/8/13
网线接头损坏导致通信错误,由于网线接头损坏，导致通信错误，导致软件显示ＮＧ,机械设备,usage,钱七,2024/8/14
平板更换需重装软件,平板更换，要求重装软件。,机械设备,usage,钱七,2024/8/15
砂轮修砂不足导致无法磨削产品,由于砂轮修砂不足导致砂轮磨不到产品,机械设备,usage,钱七,2024/8/16
传感器失效导致原点复归失败,由于传感器失效导致原点复归灯闪烁。设备停机,机械设备,usage,钱七,2024/8/17
传感器失效无法回原点,传感器失效，无法回原点。,机械设备,usage,钱七,2024/8/18
自动门传感器失效,自动门传感器失效,机械设备,usage,钱七,2024/8/19
站点附近障碍物导致AGV进站失败,由于站点附近有障碍物导致AGV进站失败,机械设备,usage,钱七,2024/8/20
设备布局变更导致定位失准,设备布局变更导致站点附近定位失准导致磁条定位失败,机械设备,usage,钱七,2024/8/21
布局变动导致定位失准,布局变动导致定位失准,机械设备,usage,钱七,2024/8/22
布局变动导致定位失准（重复）,由于布局变动导致定位失准,机械设备,usage,钱七,2024/8/23
电源插头松动导致挡块不动作,由于电源插头松动，导致挡块不动作，导致I01站点托盘卡住,机械设备,usage,钱七,2024/8/24
EM服务器断连,EM服务器断连,机械设备,usage,钱七,2024/8/25
磁条损坏,磁条损坏,机械设备,usage,钱七,2024/8/26
AGV迷路,迷路,机械设备,usage,钱七,2024/8/27
托盘叠放错位导致卡托盘,由于托盘叠放错位，托盘交换时，卡托盘。,机械设备,usage,钱七,2024/8/28
激光传感器防护不足导致误检测,由于激光传感器防护不足，当灰尘积累后被误检出，AGV无法移动。,机械设备,usage,钱七,2024/8/29
激光传感器防护不足导致误检测（重复）,由于激光传感器防护不足，灰尘被误检出，AGV无法移动。,机械设备,usage,钱七,2024/8/30
托盘质量过轻导致运动行程不足,托盘载物质量过轻，无动力运动行程不足，托盘卡住。,机械设备,usage,钱七,2024/8/31
磁条定位失败,磁条定位失败,机械设备,usage,钱七,2024/9/1
AGV移出道路边界,AGV移出道路边界,机械设备,usage,钱七,2024/9/2
AGV报警,AGV报警,机械设备,usage,钱七,2024/9/3
WiFi信号弱导致AGV停止运行,wifi信号弱，AGV停止运行,机械设备,usage,钱七,2024/9/4
出站空间被占用导致AGV无法移动,由于出站空间被占用，AGV无法移动,机械设备,usage,钱七,2024/9/5
激光传感器防护不足导致误检测,激光传感器防护不足，灰尘误检出。,机械设备,usage,钱七,2024/9/6
WiFi信号弱导致AGV报警,wifi信号弱，AGV报警,机械设备,usage,钱七,2024/9/7
WiFi信号不足导致AGV堵塞,由于WIFI信号不足，导致信息交换偏差，AGV堵塞。,机械设备,usage,钱七,2024/9/8
磁条损坏导致AGV进站报警,由于磁条损坏，AGV进站报警,机械设备,usage,钱七,2024/9/9
AGV移出道路边界（重复）,AGV移出道路边界,机械设备,usage,钱七,2024/9/10
磁条损坏（重复）,磁条损坏,机械设备,usage,钱七,2024/9/11
WiFi信号不足导致AGV调度失效,wifi信号不足，信息丢失，AGV调度失效。,机械设备,usage,钱七,2024/9/12
缺少托盘错位感应器导致卡托盘,由于没有托盘错位感应器，且通过传感器感知范围不足，人员未叠好空托盘，当托盘交换时，发生卡住托盘，系统无法检知，没有阻止AGV移动。,机械设备,usage,钱七,2024/9/13
AGV移出道路边界无法移动,agv移出道路边界，无法移动,机械设备,usage,钱七,2024/9/14
App掉线导致AGV无任务,App掉线导致无任务，AGV无法移动,机械设备,usage,钱七,2024/9/15
磁条损坏（重复）,磁条损坏,机械设备,usage,钱七,2024/9/16
托盘错位导致AGV报警,托盘错位，通过感知到托盘，AGV停止报警。,机械设备,usage,钱七,2024/9/17
激光传感器防护不足导致误检测（重复）,激光传感器防护不足，灰尘误检出。,机械设备,usage,钱七,2024/9/18
WiFi信号弱导致EM失联,由于WIFI信号弱，EM失联，AGV停止,机械设备,usage,钱七,2024/9/19
WiFi信号不足导致EM调度失效,WIFI信号不足导致信息偏差，EM调度失效。,机械设备,usage,钱七,2024/9/20
EM失联,EM失联,机械设备,usage,钱七,2024/9/21
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/22
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/23
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/24
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/25
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/26
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/27
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/28
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/29
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/9/30
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/1
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/2
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/3
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/4
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/5
EM失联导致AGV调度异常,EM失联导致，AGV调度异常。,机械设备,usage,钱七,2024/10/6
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/7
站点附近障碍物影响AGV进站,站点附近障碍物影响AGV进站,机械设备,usage,钱七,2024/10/8
托盘卡住,托盘卡住,机械设备,usage,钱七,2024/10/9
EM失联导致调度失败,EM失联导致调度失败,机械设备,usage,钱七,2024/10/10
AGV移出道路边界（重复）,agv移出道路边界,机械设备,usage,钱七,2024/10/11
通过传感器损坏,通过传感器损坏,机械设备,usage,钱七,2024/10/12
导轨螺栓松动导致卡托盘,导轨螺栓松动导致导轨位置变动，导致卡托盘,机械设备,usage,钱七,2024/10/13
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/14
EM断联,EM断联,机械设备,usage,钱七,2024/10/15
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/16
EM失联（重复）,EM失联,机械设备,usage,钱七,2024/10/17
磁条损坏导致AGV无法进站,磁条损坏导致AGV无法进站,机械设备,usage,钱七,2024/10/18
APP掉线导致AGV无任务停止,由于APP掉线，导致无任务，AGV停止。,机械设备,usage,钱七,2024/10/19
伺服异常,伺服异常,机械设备,usage,钱七,2024/10/20
Y029复位闪烁回原点失败,Y029复位闪烁，回原点失败。,机械设备,usage,钱七,2024/10/21
未使用扭力扳手导致加工椭圆,未使用扭力扳手，螺丝失效，导致顶尖跳动，导致加工椭圆,机械设备,usage,钱七,2024/10/22
原点闪烁回原点失败,原点闪烁，回原点失败,机械设备,usage,钱七,2024/10/23
